INSTNM,CITY,STABBR,ZIP,COSTT4_A
Central New Mexico Community College,Albuquerque,NM,87106,9399
Navajo Technical University,Crownpoint,NM,87313-0849,11176
De Wolff College Hair Styling and Cosmetology,Albuquerque,NM,87112-4413,NULL
New Mexico State University-Dona Ana,Las Cruces,NM,88011,11370
Clovis Community College,Clovis,NM,88101-8381,11295
Eastern New Mexico University-Main Campus,Portales,NM,88130,16475
Eastern New Mexico University-Roswell Campus,Roswell,NM,88202-6000,11093
Institute of American Indian and Alaska Native Culture and Arts Development,Santa Fe,NM,87508-1300,20263
New Mexico Highlands University,Las Vegas,NM,87701,17527
New Mexico Junior College,Hobbs,NM,88240,9444
New Mexico Military Institute,Roswell,NM,88201-5173,13566
University of New Mexico-Gallup Campus,Gallup,NM,87301,11476
New Mexico Institute of Mining and Technology,Socorro,NM,87801,20727
University of New Mexico-Los Alamos Campus,Los Alamos,NM,87544,12157
University of New Mexico-Main Campus,Albuquerque,NM,87106,18937
New Mexico State University-Alamogordo,Alamogordo,NM,88310,11643
New Mexico State University-Carlsbad,Carlsbad,NM,88220,12863
New Mexico State University-Grants,Grants,NM,87020-2025,11514
New Mexico State University-Main Campus,Las Cruces,NM,88003-8001,17124
University of New Mexico-Valencia County Campus,Los Lunas,NM,87031-7633,11770
Northern New Mexico College,Espanola,NM,87532,13834
San Juan College,Farmington,NM,87402-4699,10319
Santa Fe Community College,Santa Fe,NM,87508-4887,13636
Santa Fe University of Art and Design,Santa Fe,NM,87505-7634,45123
University of the Southwest,Hobbs,NM,88240,25630
Southwestern College,Santa Fe,NM,87507,NULL
Southwestern Indian Polytechnic Institute,Albuquerque,NM,87120-3101,11733
University of New Mexico-Taos Campus,Ranchos de Taos,NM,87557,12535
Mesalands Community College,Tucumcari,NM,88401-3352,12788
Vogue College of Cosmetology-Santa Fe,Santa Fe,NM,87505,NULL
Western New Mexico University,Silver City,NM,88061,18171
Vaughn College of Aeronautics and Technology,Flushing,NY,11369,38214
Adelphi University,Garden City,NY,11530-0701,48521
Adirondack Community College,Queensbury,NY,12804,12932
Bryant & Stratton College-Albany,Albany,NY,12205,22092
Albany College of Pharmacy and Health Sciences,Albany,NY,12208-3492,45595
Albany Law School,Albany,NY,12208,NULL
Albany Medical College,Albany,NY,12208-3479,NULL
Alfred University,Alfred,NY,14802-1205,42249
Allen School-Brooklyn,Brooklyn,NY,11201,NULL
The Ailey School,New York,NY,10019-4402,33818
American Academy of Dramatic Arts-New York,New York,NY,10016,53042
American Academy McAllister Institute of Funeral Service,New York,NY,10019,24668
Joffrey Ballet School,New York,NY,10011,32915
American Musical and Dramatic Academy,New York,NY,10023,50983
Apex Technical School,Long Island City,NY,11101,NULL
Arnot Ogden Medical Center,Elmira,NY,14905-1676,NULL
Associated Beth Rivkah Schools,Brooklyn,NY,11225-0000,17191
Bank Street College of Education,New York,NY,10025,NULL
Bard College,Annandale-On-Hudson,NY,12504-5000,68528
Barnard College,New York,NY,10027-6598,68512
Berk Trade and Business School,Long Island City,NY,11101-8120,NULL
Berkeley College-New York,New York,NY,10017,35229
Beth Hatalmud Rabbinical College,Brooklyn,NY,11214-2594,NULL
Beth Hamedrash Shaarei Yosher Institute,Brooklyn,NY,11204,14650
Phillips School of Nursing at Mount Sinai Beth Israel,New York,NY,10001-6354,NULL
Brittany Beauty Academy,Brooklyn,NY,11209,NULL
Boricua College,New York,NY,10032-1560,20660
Briarcliffe College,Bohemia,NY,11716,NULL
Brittany Beauty Academy,Levittown,NY,11756-1345,NULL
American Beauty School,Bronx,NY,10462,NULL
Brooklyn Law School,Brooklyn,NY,11201,NULL
SUNY Broome Community College,Binghamton,NY,13905,12968
Bryant & Stratton College-Amherst,Getzville,NY,14068,21187
Bryant & Stratton College-Syracuse North,Liverpool,NY,13090,20459
Bryant & Stratton College-Syracuse,Syracuse,NY,13203-2502,23215
Bryant & Stratton College-Buffalo,Buffalo,NY,14203,22299
Bryant & Stratton College-Greece,Rochester,NY,14612,20912
Canisius College,Buffalo,NY,14208-1098,46994
Capri Cosmetology Learning Centers,Nanuet,NY,10954,NULL
St Paul's School of Nursing-Queens,Rego Park,NY,11374,41731
Cayuga County Community College,Auburn,NY,13021-3099,11783
Cazenovia College,Cazenovia,NY,13035,48503
Central Yeshiva Tomchei Tmimim Lubavitz,Brooklyn,NY,11230-2798,18902
Cheryl Fells School of Business,Niagara Falls,NY,14304,NULL
Christ the King Seminary,East Aurora,NY,14052-0607,NULL
Christine Valmy International School for Esthetics Skin Care & Makeup,New York,NY,10036,NULL
Circle in the Square Theatre School,New York,NY,10019-6795,41690
Clarkson University,Potsdam,NY,13699,63747
Clinton Community College,Plattsburgh,NY,12901,12038
Cochran School of Nursing,Yonkers,NY,10701,NULL
Colgate Rochester Crozer Divinity School,Rochester,NY,14620-2589,NULL
Colgate University,Hamilton,NY,13346-1398,67290
Metropolitan College of New York,New York,NY,10006-1742,31591
Columbia University in the City of New York,New York,NY,10027,71972
Columbia-Greene Community College,Hudson,NY,12534,11068
Empire Beauty School-Queens,Astoria,NY,11103,NULL
Concordia College-New York,Bronxville,NY,10708-1998,41105
Continental School of Beauty Culture-Buffalo,Buffalo,NY,14223,NULL
Continental School of Beauty Culture-Batavia,Batavia,NY,14020,NULL
Continental School of Beauty Culture-Rochester,Rochester,NY,14623,NULL
Cooper Union for the Advancement of Science and Art,New York,NY,10003-7120,58756
Cornell University,Ithaca,NY,14853,67613
Weill Cornell Medical College,New York,NY,10065,NULL
Corning Community College,Corning,NY,14830,11763
Pomeroy College of Nursing at Crouse Hospital,Syracuse,NY,13210-1687,20249
Culinary Institute of America,Hyde Park,NY,12538-1499,44775
CUNY Bernard M Baruch College,New York,NY,10010,13510
CUNY Borough of Manhattan Community College,New York,NY,10007,13204
CUNY Bronx Community College,Bronx,NY,10453,13246
CUNY Brooklyn College,Brooklyn,NY,11210,13404
College of Staten Island CUNY,Staten Island,NY,10314,14405
CUNY City College,New York,NY,10031,13698
CUNY Graduate School and University Center,New York,NY,10016,NULL
CUNY Hostos Community College,Bronx,NY,10451,13618
CUNY Hunter College,New York,NY,10065,13347
CUNY John Jay College of Criminal Justice,New York,NY,10019,14067
CUNY Kingsborough Community College,Brooklyn,NY,11235,13060
CUNY LaGuardia Community College,Long Island City,NY,11101,13217
CUNY Lehman College,Bronx,NY,10468,13568
CUNY Medgar Evers College,Brooklyn,NY,11225,14681
CUNY New York City College of Technology,Brooklyn,NY,11201,13635
CUNY Queens College,Queens,NY,11367,13815
CUNY Queensborough Community College,Bayside,NY,11364-1497,12561
CUNY School of Law,Long Island City,NY,11101,NULL
CUNY York College,Jamaica,NY,11451,13958
CVPH Medical Center School of Radiologic Technology,Plattsburgh,NY,12901-1438,NULL
D'Youville College,Buffalo,NY,14201-1084,35547
Daemen College,Amherst,NY,14226-3592,38010
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,Far Rockaway,NY,11691-5219,22250
Dominican College of Blauvelt,Orangeburg,NY,10962-1210,41986
Dutchess Community College,Poughkeepsie,NY,12601-1595,13301
Belanger School of Nursing,Schenectady,NY,12304,16145
Elmira Business Institute,Elmira,NY,14901,54800
Elmira College,Elmira,NY,14901,54272
Erie Community College,Buffalo,NY,14203-2698,11027
Fashion Institute of Technology,New York,NY,10001-5992,16991
Finger Lakes Community College,Canandaigua,NY,14424-8395,15192
Five Towns College,Dix Hills,NY,11746-5871,31441
Fordham University,Bronx,NY,10458,65105
The International Culinary Center,New York,NY,10013-2618,NULL
Fulton-Montgomery Community College,Johnstown,NY,12095-3790,14971
Gemological Institute of America-New York,New York,NY,10036,NULL
The General Theological Seminary,New York,NY,10011,NULL
Genesee Community College,Batavia,NY,14020,12265
Hamilton College,Clinton,NY,13323,65750
Hartwick College,Oneonta,NY,13820-4020,55513
Helene Fuld College of Nursing,New York,NY,10035-2737,NULL
Herkimer County Community College,Herkimer,NY,13350-1598,14375
Hilbert College,Hamburg,NY,14075-1597,28095
Hobart William Smith Colleges,Geneva,NY,14456,67316
Hofstra University,Hempstead,NY,11549,56910
Houghton College,Houghton,NY,14744,42059
Hudson Valley Community College,Troy,NY,12180,13298
Hunter Business School,Levittown,NY,11756-1375,NULL
Iona College,New Rochelle,NY,10801-1890,49876
Isabella Graham Hart School of Practical Nursing,Rochester,NY,14621,NULL
Island Drafting and Technical Institute,Amityville,NY,11701-2704,28161
Ithaca College,Ithaca,NY,14850-7002,59873
Jamestown Community College,Jamestown,NY,14701,15169
Jamestown Business College,Jamestown,NY,14701-4756,19624
Jefferson Community College,Watertown,NY,13601-1897,16906
Jewish Theological Seminary of America,New York,NY,10027-4649,72120
The Juilliard School,New York,NY,10023-6588,60130
Kehilath Yakov Rabbinical Seminary,Ossining,NY,10562,14025
Keuka College,Keuka Park,NY,14478,45278
LIM College,New York,NY,10022-5268,45196
Le Moyne College,Syracuse,NY,13214-1301,46207
LIU Brooklyn,Brooklyn,NY,11201-8423,46937
Long Island University,Brookville,NY,11548-1327,49407
Long Island Beauty School-Hempstead,Hempstead,NY,11550,NULL
Long Island Business Institute,Flushing,NY,11354-5577,19545
LIU Brentwood,Brentwood,NY,11717,NULL
Machzikei Hadath Rabbinical College,Brooklyn,NY,11204-1805,22201
Mandl School-The College of Allied Health,New York,NY,10019-5516,25193
Manhattan College,Riverdale,NY,10471-4098,55038
Manhattan School of Music,New York,NY,10027,66200
Manhattanville College,Purchase,NY,10577,49859
Maria College of Albany,Albany,NY,12208,19288
Marion S Whelan School of Nursing of Geneva General Hospital,Geneva,NY,14456-1651,NULL
Marist College,Poughkeepsie,NY,12601,52122
Marymount Manhattan College,New York,NY,10021-4597,52199
Medaille College,Buffalo,NY,14214-2695,34977
Memorial College of Nursing,Albany,NY,12204,19174
Memorial Hospital School of Radiation Therapy Technology,New York,NY,10065-6007,NULL
Mercy College,Dobbs Ferry,NY,10522,29287
Mesivta Torah Vodaath Rabbinical Seminary,Brooklyn,NY,11218,19210
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,Brooklyn,NY,11218-5559,16625
Mesivtha Tifereth Jerusalem of America,New York,NY,10002-6301,15750
Southern Westchester BOCES-Practical Nursing Program,Harrison,NY,10528,NULL
Midway Paris Beauty School,Ridgewood,NY,11385,NULL
Mildred Elley School-Albany Campus,Albany,NY,12206-1513,24205
Mirrer Yeshiva Cent Institute,Brooklyn,NY,11223-2010,15828
Modern Welding School,Schenectady,NY,12304,NULL
Mohawk Valley Community College,Utica,NY,13501-5394,13584
Molloy College,Rockville Centre,NY,11571-5002,42903
Monroe College,Bronx,NY,10468,22661
Monroe Community College,Rochester,NY,14623,12839
Mount Saint Mary College,Newburgh,NY,12550,42763
College of Mount Saint Vincent,Bronx,NY,10471-1093,42578
Icahn School of Medicine at Mount Sinai,New York,NY,10029-6574,NULL
Nassau Community College,Garden City,NY,11530-6793,10967
Nazareth College,Rochester,NY,14618-3790,47375
Neighborhood Playhouse School of the Theater,New York City,NY,10022-5017,28407
The College of New Rochelle,New Rochelle,NY,10805-2339,48759
The New School,New York,NY,10011-8871,64523
The New School Center for Media,Albany,NY,12205,NULL
New York Chiropractic College,Seneca Falls,NY,13148-0800,NULL
New York Law School,New York,NY,10013-2921,NULL
New York Medical College,Valhalla,NY,10595,NULL
New York School for Medical and Dental Assistants,Long Island City,NY,11101,NULL
New York Theological Seminary,New York,NY,10115,NULL
New York University,New York,NY,10012-1091,67865
Niagara County Community College,Sanborn,NY,14132,11410
Niagara University,Niagara University,NY,14109,43832
Empire Beauty School-Peekskill,Peekskill,NY,10566,NULL
North Country Community College,Saranac Lake,NY,12983-0089,15699
New York College of Podiatric Medicine,New York,NY,10035-1940,NULL
New York Institute of Technology,Old Westbury,NY,11568-8000,46971
New York School of Interior Design,New York,NY,10021,42010
Nyack College,Nyack,NY,10960-3698,38406
Ohr Hameir Theological Seminary,Peekskill,NY,10566,20100
Onondaga Community College,Syracuse,NY,13215-4585,14149
Orange County Community College,Middletown,NY,10940,10559
Otsego Area BOCES-Practical Nursing Program,Oneonta,NY,13820-1142,NULL
Pace University,New York,NY,10038-1598,60221
Paul Smiths College of Arts and Science,Paul Smiths,NY,12970-0265,43393
Continental School of Beauty Culture-West Seneca,West Seneca,NY,14224,NULL
Plaza College,Forest Hills,NY,11375,19940
Davis College,Johnson City,NY,13790-2712,25469
Pratt Institute-Main,Brooklyn,NY,11205,63430
Rabbinical Academy Mesivta Rabbi Chaim Berlin,Brooklyn,NY,11230,19265
Rabbinical College Bobover Yeshiva Bnei Zion,Brooklyn,NY,11219,13507
Rabbinical College Beth Shraga,Monsey,NY,10952-3033,21850
Rabbinical College of Long Island,Long Beach,NY,11561,17700
Rabbinical Seminary of America,Flushing,NY,11367,19600
Rensselaer Polytechnic Institute,Troy,NY,12180-3590,68244
Roberts Wesleyan College,Rochester,NY,14624,42610
Rochester Institute of Technology,Rochester,NY,14623-5603,52715
University of Rochester,Rochester,NY,14627-0011,67722
Rockefeller University,New York,NY,10065-6399,NULL
Rockland Community College,Suffern,NY,10901-3699,14614
Empire Beauty School-Manhattan,New York,NY,10001,NULL
The Sage Colleges,Troy,NY,12180,42463
St Bernard's School of Theology and Ministry,Rochester,NY,14618,NULL
St Bonaventure University,Saint Bonaventure,NY,14778-9800,45824
St Francis College,Brooklyn Heights,NY,11201-4305,30444
St. Joseph's College of Nursing,Syracuse,NY,13203,34583
St Lawrence University,Canton,NY,13617,66040
The College of Saint Rose,Albany,NY,12203-1490,45361
St. Thomas Aquinas College,Sparkill,NY,10976-1050,43572
Samaritan Hospital School of Nursing,Troy,NY,12065,NULL
Sarah Lawrence College,Bronxville,NY,10708,68234
Schenectady County Community College,Schenectady,NY,12305,10580
Sh'or Yoshuv Rabbinical College,Lawrence,NY,11559-1714,19560
Siena College,Loudonville,NY,12211-1462,52236
Skidmore College,Saratoga Springs,NY,12866,67000
St. Joseph's College-New York,Brooklyn,NY,11205-3688,30919
St. Joseph's College-Long Island,Patchogue,NY,11772,31248
Saint Vladimirs Orthodox Theological Seminary,Yonkers,NY,10707-1699,NULL
Saint Elizabeth College of Nursing,Utica,NY,13501,NULL
Saint John Fisher College,Rochester,NY,14618-3597,45298
St Paul's School of Nursing-Staten Island,Staten Island,NY,10311,33223
St John's University-New York,Queens,NY,11439,51401
Branford Hall Career Institute-Bohemia Campus,Bohemia,NY,11716,NULL
Sullivan County Community College,Loch Sheldrake,NY,12759-5151,15065
SUNY College of Technology at Alfred,Alfred,NY,14802,22937
SUNY College of Technology at Canton,Canton,NY,13617-1098,21263
SUNY College of Technology at Delhi,Delhi,NY,13753-1100,23135
SUNY College of Agriculture and Technology at Cobleskill,Cobleskill,NY,12043,23712
Farmingdale State College,Farmingdale,NY,11735-1021,15794
SUNY Morrisville,Morrisville,NY,13408,25544
SUNY at Albany,Albany,NY,12222,24742
Binghamton University,Vestal,NY,13850-6000,24725
University at Buffalo,Buffalo,NY,14260-1660,24198
Stony Brook University,Stony Brook,NY,11794,23915
